OuterLoopSize,InnerLoopSize,LastLoopSize,TotalThreads,OuterThreads,InnerThreads,Time
12,100000,10,48,12,4,3985.24
12,100000,10,48,2,6,3614.79
12,100000,10,48,2,8,5949.23
12,100000,10,48,6,6,8059.39
12,100000,10,48,6,8,8056.33
12,100000,10,48,2,12,10409.7
12,100000,10,48,2,24,32828.7
24,100000,10,48,2,1,10466.8
24,100000,10,48,6,1,3992.14
24,100000,10,48,12,1,2592.96
24,100000,10,48,24,1,7068.04
24,100000,10,48,48,1,6699.8
24,100000,10,48,2,2,6296.72
24,100000,10,48,6,2,3994.35
24,100000,10,48,12,2,4519.41
24,100000,10,48,24,2,4276.83
24,100000,10,48,2,3,4679.03
24,100000,10,48,2,4,4202.18
24,100000,10,48,6,3,3703.94
24,100000,10,48,6,4,4722.19
24,100000,10,48,12,3,8862.49
24,100000,10,48,12,4,9451.45
24,100000,10,48,2,6,6355.54
24,100000,10,48,2,8,7565.01
24,100000,10,48,6,6,10553.2
24,100000,10,48,6,8,16513
24,100000,10,48,2,12,11911.3
24,100000,10,48,2,24,55639.2
48,100000,10,48,2,1,20687.2
48,100000,10,48,6,1,7328.59
48,100000,10,48,12,1,4131.47
48,100000,10,48,24,1,7382.18
48,100000,10,48,48,1,8349.82
48,100000,10,48,2,2,11644.8
48,100000,10,48,6,2,5072.23
48,100000,10,48,12,2,6317.57
48,100000,10,48,24,2,8273.74
48,100000,10,48,2,3,8983.95
48,100000,10,48,2,4,9434.1
48,100000,10,48,6,3,7616.52
48,100000,10,48,6,4,8637.03
48,100000,10,48,12,3,10444.3
48,100000,10,48,12,4,14395.5
48,100000,10,48,2,6,14347.9
48,100000,10,48,2,8,15748.3
48,100000,10,48,6,6,17594
48,100000,10,48,6,8,27895.6
48,100000,10,48,2,12,27971.5
48,100000,10,48,2,24,131804
10000,100000,10,48,2,1,4.26172e+06
10000,100000,10,48,6,1,1.44214e+06
